,Tweet,Followers,Friends,Num_tweets,Verified,Listed_count,Location,Age,Length,Num_users,Num_author_replies,TOXICITY_x,Num_toxic_direct_replies,Num_toxic_nested_replies,Num_author_toxic_replies,Num_toxic_replies,Toxic
28425,1431041344575721475,192,210,3551,False,1,True,0,2,2,0,0.014702292,0.0,0.0,0.0,0.0,0
28426,1433563253729288193,194,940,4572,False,0,False,1,2,2,0,0.743089,0.0,0.0,0.0,0.0,0
28427,1435348517258612736,15493,14789,75732,False,125,True,9,3,2,1,0.034041706,0.0,0.0,0.0,0.0,0
28428,1436132483024756736,23144,471,25559,False,56,True,2,17,17,0,0.02048268,0.0,0.0,0.0,0.0,0
28429,1436150271084802051,12335,2499,31596,False,33,True,1,4,2,1,0.11398677,1.0,0.0,0.0,1.0,1
28430,1441142365251506180,462,564,2476,False,1,True,5,3,3,0,0.018849092,0.0,0.0,0.0,0.0,0
28431,1441877987465498630,1803,577,112017,False,29,True,9,2,2,0,0.27047762,0.0,0.0,0.0,0.0,0
28432,1436535547233771520,482,567,358,False,0,False,1,6,3,2,0.20219094,1.0,0.0,1.0,1.0,1
28433,1441857393416081413,1271,289,18019,False,3,True,1,6,6,0,0.24603334,0.0,0.0,0.0,0.0,0
28434,1428878509737455616,44,354,22074,False,17,True,5,10,3,4,0.04166769,0.0,3.0,0.0,3.0,1
28435,1431028124091703300,21942,710,18840,False,20,True,2,2,2,0,0.031684756,0.0,0.0,0.0,0.0,0
28436,1428846234597535750,4034,4346,42037,False,36,True,10,5,4,1,0.010115679,0.0,0.0,0.0,0.0,0
28437,1441862695024832518,502,745,16074,False,11,True,1,5,3,1,0.03592727,0.0,0.0,0.0,0.0,0
28438,1434930764609687552,195,189,1346,False,0,False,1,3,2,1,0.8364697,1.0,0.0,1.0,1.0,1
28439,1431052677572481026,280,303,6955,False,4,True,0,11,5,4,0.02343543,0.0,0.0,0.0,0.0,0
28440,1441862292367462406,2905,2491,3620,False,11,True,12,6,6,0,0.059974585,0.0,0.0,0.0,0.0,0
28441,1437245831665491976,414,626,1794,False,0,True,3,2,2,0,0.10566349,0.0,0.0,0.0,0.0,0
28442,1434648013977292802,534,528,200340,False,14,True,4,2,2,0,0.045378547,0.0,0.0,0.0,0.0,0
28443,1438704484754935819,121,119,192,False,0,True,1,4,2,1,0.23379272,1.0,0.0,0.0,1.0,1
28444,1431804078741499906,15364,2805,39366,False,27,True,9,2,2,0,0.9029226,0.0,0.0,0.0,0.0,0
28445,1430334101010124802,1,23,7,False,0,True,10,3,3,0,0.031331215,0.0,0.0,0.0,0.0,0
28446,1436137310689583106,187,178,185,False,2,True,2,2,2,0,0.019226074,0.0,0.0,0.0,0.0,0
28447,1427315112302374914,7578,70,5820,False,13,True,0,16,10,6,0.20572066,0.0,0.0,0.0,0.0,0
28448,1428382847883227142,1489,1750,58211,False,7,True,10,2,2,0,0.2396185,0.0,0.0,0.0,0.0,0
28449,1432870728009977859,1231,968,33924,False,3,True,10,3,3,0,0.6852916,1.0,1.0,0.0,2.0,1
28450,1432858514196623360,170,389,3172,False,0,False,0,5,3,1,0.37694603,0.0,0.0,0.0,0.0,0
28451,1426953181611708417,7379,1381,4087,False,79,True,10,2,2,0,0.23739935,0.0,0.0,0.0,0.0,0
28452,1441167153583968264,2022,47,2239,False,14,True,3,3,3,0,0.048594624,0.0,0.0,0.0,0.0,0
28453,1440173233576108035,314,1737,13122,False,3,True,6,21,9,9,0.018974753,0.0,0.0,0.0,0.0,0
28454,1432874444150775808,17,59,791,False,0,False,1,15,3,6,0.8696708,0.0,1.0,0.0,1.0,1
28455,1432545170306723843,145,325,2195,False,0,True,0,2,2,0,0.8988238,0.0,0.0,0.0,0.0,0
28456,1431431964268060673,80,195,526,False,0,False,0,4,2,1,0.7252971,1.0,0.0,0.0,1.0,1
28457,1441517898065793028,2876,4081,25337,False,11,True,10,2,2,0,0.08716487,0.0,0.0,0.0,0.0,0
